,AC,priority,label-val,cluster,max_ident_other,closest_other
0,157D_A,False,0,0.0,0.6920000000000001,3CGP_B
1,157D_B,False,0,0.0,0.6920000000000001,3CGP_B
2,1CSL_A,False,0,1.0,0.5379999999999999,4MSB_F
3,1CSL_B,False,0,2.0,0.688,1DUQ_B
4,1DDY_A,False,0,3.0,0.47600000000000003,3GCA_A
5,1DDY_C,False,0,3.0,0.47600000000000003,3GCA_A
6,1DDY_E,False,0,3.0,0.47600000000000003,3GCA_A
7,1DDY_G,False,0,3.0,0.47600000000000003,3GCA_A
8,1DQF_A,False,0,4.0,0.545,3P59_F
9,1DQF_B,False,0,4.0,1.0,1DQH_B
10,1DQH_A,False,0,4.0,0.545,3P59_F
11,1DQH_B,False,0,0.0,1.0,1DQF_B
12,1DUQ_A,False,0,1.0,0.643,6JJH_B
13,1DUQ_B,False,0,4.0,0.688,1CSL_B
14,1DUQ_C,False,0,1.0,0.643,6JJH_B
15,1DUQ_D,False,0,4.0,0.688,1CSL_B
16,1DUQ_E,False,0,1.0,0.643,6JJH_B
17,1DUQ_F,False,0,4.0,0.688,1CSL_B
18,1DUQ_G,False,0,1.0,0.643,6JJH_B
19,1DUQ_H,False,0,4.0,0.688,1CSL_B
20,1ET4_A,False,0,3.0,0.47600000000000003,3GCA_A
21,1ET4_B,False,0,3.0,0.47600000000000003,3GCA_A
22,1ET4_C,False,0,3.0,0.47600000000000003,3GCA_A
23,1ET4_D,False,0,3.0,0.47600000000000003,3GCA_A
24,1ET4_E,False,0,3.0,0.47600000000000003,3GCA_A
25,1F27_A,False,0,0.0,0.526,1CSL_B
26,1F27_B,False,0,2.0,0.583,4MCE_B
27,1FG0_A,False,0,0.0,0.424,4E8K_A
28,1GID_A,False,0,2.0,0.503,7JRS_A
29,1GID_B,False,0,2.0,0.503,7JRS_A
30,1HR2_A,False,0,2.0,0.49700000000000005,7JRS_A
31,1HR2_B,False,0,2.0,0.49700000000000005,7JRS_A
32,1I9X_A,False,0,1.0,0.5379999999999999,354D_A
33,1I9X_B,False,0,1.0,0.5379999999999999,354D_A
34,1J7T_A,False,0,4.0,0.542,1NTA_B
35,1J7T_B,False,0,4.0,0.542,1NTA_B
36,1J8G_A,False,0,0.0,1.0,1J8G_C
37,1J8G_B,False,0,0.0,1.0,1J8G_C
38,1J8G_C,False,0,1.0,1.0,1J8G_A
39,1J8G_D,False,0,3.0,1.0,1J8G_A
40,1K9W_A,False,0,0.0,0.5,1DUQ_B
41,1K9W_B,False,0,0.0,0.5,1DUQ_B
42,1K9W_C,False,0,0.0,0.5,1DUQ_B
43,1K9W_D,False,0,0.0,0.5,1DUQ_B
44,1KD3_A,False,0,1.0,0.667,3NJ6_A
45,1KD3_B,False,0,1.0,0.667,3NJ6_A
46,1KD4_A,False,0,1.0,0.667,3NJ6_A
47,1KD4_B,False,0,1.0,0.667,3NJ6_A
48,1KD5_A,False,0,1.0,0.667,3NJ6_A
49,1KD5_B,False,0,1.0,0.667,3NJ6_A
50,1KXK_A,False,0,3.0,0.506,5BTM_A
51,1L3Z_A,False,0,3.0,0.667,4JAB_A
52,1L3Z_B,False,0,3.0,0.667,4JAB_A
53,1L8V_A,False,0,2.0,0.494,7JRS_A
54,1L8V_B,False,0,2.0,0.494,7JRS_A
55,1LC4_A,False,0,4.0,0.542,4J50_A
56,1LC4_B,False,0,4.0,0.542,4J50_A
57,1MHK_L,False,0,3.0,0.632,357D_B
58,1MHK_S,False,0,3.0,0.615,3CGP_B
59,1MME_A,False,0,3.0,0.6,2D2K_D
60,1MME_B,False,0,1.0,0.615,4PHY_B
61,1MME_C,False,0,3.0,0.6,2D2K_D
62,1MME_D,False,0,1.0,0.615,4PHY_B
63,1MSY_A,False,0,2.0,0.6,1Q96_A
64,1MWL_A,False,0,4.0,0.542,1NTA_B
65,1MWL_B,False,0,4.0,0.542,1NTA_B
66,1NBS_A,False,0,1.0,0.473,2IL9_A
67,1NBS_B,False,0,1.0,0.473,2IL9_A
68,1NLC_A,False,0,0.0,0.517,1LC4_A
69,1NLC_B,False,0,0.0,0.517,1LC4_A
70,1NTA_A,False,0,1.0,0.64,6E7L_A
71,1NTA_B,False,0,1.0,0.611,6JJH_B
72,1NTB_A,False,0,1.0,0.64,6E7L_A
73,1NTB_B,False,0,1.0,0.611,6JJH_B
74,1NUJ_A,False,0,1.0,0.615,1SA9_B
75,1NUJ_B,False,0,3.0,0.636,2XSL_A
76,1NUJ_C,False,0,1.0,0.615,1SA9_B
77,1NUJ_D,False,0,3.0,0.636,2XSL_A
78,1NUJ_E,False,0,1.0,0.615,1SA9_B
79,1NUJ_F,False,0,3.0,0.636,2XSL_A
80,1NUJ_G,False,0,1.0,0.615,1SA9_B
81,1NUJ_H,False,0,3.0,0.636,2XSL_A
82,1NUV_A,False,0,1.0,0.615,1SA9_B
83,1NUV_B,False,0,3.0,0.636,2XSL_A
84,1NUV_C,False,0,1.0,0.615,1SA9_B
85,1NUV_D,False,0,3.0,0.636,2XSL_A
86,1NUV_E,False,0,1.0,0.615,1SA9_B
87,1NUV_F,False,0,3.0,0.636,2XSL_A
88,1NUV_G,False,0,1.0,0.615,1SA9_B
89,1NUV_H,False,0,3.0,0.636,2XSL_A
90,1NYI_A,False,0,3.0,0.6,2D2K_D
91,1NYI_B,False,0,1.0,0.64,4PHY_B
92,1O3Z_A,False,0,0.0,0.517,1LC4_A
93,1O3Z_B,False,0,0.0,0.517,1LC4_A
94,1O9M_A,False,0,4.0,0.542,1NTA_B
95,1O9M_B,False,0,4.0,0.542,1NTA_B
96,1OSU_A,False,0,1.0,0.7140000000000001,2VAL_C
97,1P79_A,False,0,1.0,0.833,1J8G_A
98,1P9X_0,False,0,2.0,0.13699999999999998,1FG0_A
99,1Q29_A,False,0,3.0,0.6,2D2K_D
100,1Q29_B,False,0,1.0,0.64,4PHY_B
101,1Q93_A,False,0,3.0,0.633,1Q9A_A
102,1Q93_B,False,0,3.0,0.633,1Q9A_A
103,1Q93_C,False,0,3.0,0.633,1Q9A_A
104,1Q96_A,False,0,3.0,0.633,1Q9A_A
105,1Q96_B,False,0,3.0,0.633,1Q9A_A
106,1Q96_C,False,0,3.0,0.633,1Q9A_A
107,1Q9A_A,False,0,2.0,0.633,1Q93_A
108,1QC0_A,False,0,1.0,0.667,434D_A
109,1QC0_B,False,0,1.0,0.6,5V9Z_B
